date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:13	140/140	---MCZ	200	added ('OK')	text/plain	date:Wed,%2017%20Jul%202024%2020:24:14%20GMT	https://www.roundgluteo.com/robots.txt		(from )
17:24:13	176283/176283	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2020:24:14%20GMT	https://www.roundgluteo.com/	C:/My%20Web%20Sites/round/www.roundgluteo.com/index.html	(from )
17:24:14	10820/10820	---M--	200	added ('OK')	image/png	etag:%223093b8a1089a5acfaa59c89b3b595816%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/14358-dd1046ea31f3614011ec1919090e1dac.png	C:/My%20Web%20Sites/round/cdn.greatsoftwares.com.br/arquivos/paginas/14358-dd1046ea31f3614011ec1919090e1dac.png	(from https://www.roundgluteo.com/)
17:24:15	1500494/1500494	---M--	200	added ('OK')	image/png	etag:%2201cc0177fb000698bb2c547ca62250df%22	https://cdn.greatpages.com.br/www.roundgluteo.com/1689186595/imagens/desktop/254068_1_6499d08add369.png	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com/1689186595/imagens/desktop/254068_1_6499d08add369.png	(from https://www.roundgluteo.com/)
17:24:16	257551/257551	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3ee0f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.js	C:/My%20Web%20Sites/round/cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.js	(from https://www.roundgluteo.com/)
17:24:16	15619/15619	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-3d03%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.0/waypoints.js	C:/My%20Web%20Sites/round/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.0/waypoints.js	(from https://www.roundgluteo.com/)
17:24:17	1190/1190	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-4a6%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.0/shortcuts/sticky-elements/waypoints-sticky.js	C:/My%20Web%20Sites/round/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.0/shortcuts/sticky-elements/waypoints-sticky.js	(from https://www.roundgluteo.com/)
17:24:17	77551/77551	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2020:24:18%20GMT	https://www.roundgluteo.com/selecione-seu-procedimento	C:/My%20Web%20Sites/round/www.roundgluteo.com/selecione-seu-procedimento.html	(from https://www.roundgluteo.com/)
17:24:18	162620/162620	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2020:24:19%20GMT	https://www.roundgluteo.com/procedimentos	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos.html	(from https://www.roundgluteo.com/)
17:24:18	123654/123654	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2020:24:19%20GMT	https://www.roundgluteo.com/sobre-nos	C:/My%20Web%20Sites/round/www.roundgluteo.com/sobre-nos.html	(from https://www.roundgluteo.com/)
17:24:19	40760/40760	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2020:24:20%20GMT	https://www.roundgluteo.com/idiomas	C:/My%20Web%20Sites/round/www.roundgluteo.com/idiomas.html	(from https://www.roundgluteo.com/)
17:24:20	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:21%20GMT	https://www.roundgluteo.com/procedimentos/toxinabotulinica	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/toxinabotulinica	(from https://www.roundgluteo.com/)
17:24:20	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:21%20GMT	https://www.roundgluteo.com/procedimentos/rejuvenescimentofacial	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/rejuvenescimentofacial	(from https://www.roundgluteo.com/)
17:24:21	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:22%20GMT	https://www.roundgluteo.com/procedimentos/roundgluteo	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/roundgluteo	(from https://www.roundgluteo.com/)
17:24:22	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:23%20GMT	https://www.roundgluteo.com/procedimentos/rejuvenescimentocorporal	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/rejuvenescimentocorporal	(from https://www.roundgluteo.com/)
17:24:22	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:23%20GMT	https://www.roundgluteo.com/procedimentos/harmonizacao	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/harmonizacao	(from https://www.roundgluteo.com/)
17:24:23	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:24%20GMT	https://www.roundgluteo.com/procedimentos/celulite	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/celulite	(from https://www.roundgluteo.com/)
17:24:23	23398/23398	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2020:24:24%20GMT	https://www.roundgluteo.com/procedimentos/gorduralocalizada	C:/My%20Web%20Sites/round/www.roundgluteo.com/procedimentos/gorduralocalizada	(from https://www.roundgluteo.com/)
17:24:24	23391/23391	---MCZ	200	added ('OK')	text/css	etag:W/%22c7fa7167e06f26f3f188badecfba0b85%22	https://cdn.greatpages.com.br/www.roundgluteo.com/1689186595/css.css	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com/1689186595/css.css	(from https://www.roundgluteo.com/)
17:24:24	103408/103408	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a9c1befc106ffec79772142e731b20e3%22	https://cdn.greatpages.com.br/www.roundgluteo.com/1689186595/js.js	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com/1689186595/js.js	(from https://www.roundgluteo.com/)
17:24:25	504544/504544	---M--	200	added ('OK')	image/jpeg	etag:%223884925ff13fe26184824568ecef280c%22	https://cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/imagens/desktop/264834_1_168916581864ae9ffa2d753.jpg	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/imagens/desktop/264834_1_168916581864ae9ffa2d753.jpg	(from https://www.roundgluteo.com/selecione-seu-procedimento)
17:24:25	23391/23391	---MCZ	200	added ('OK')	text/css	etag:W/%22c7fa7167e06f26f3f188badecfba0b85%22	https://cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/css.css	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/css.css	(from https://www.roundgluteo.com/selecione-seu-procedimento)
17:24:25	92601/92601	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218436b4c2200e690eb3269d0eae24094%22	https://cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/js.js	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-selecione-seu-procedimento/1689174291/js.js	(from https://www.roundgluteo.com/selecione-seu-procedimento)
